x,y,Mean,Std,,,,
92.75,26.75,174.749351,165.6977477,,,,
93,26.75,174.9909813,162.8285899,,,,
93.25,26.75,175.2326116,160.1507268,,,,
93.5,26.75,176.3234088,158.4050166,,,,
93.75,26.75,177.414206,156.9622824,,,,
94,26.75,179.5055828,157.0081031,,,,
94.25,26.75,181.5969597,157.3930572,,,,
94.5,26.75,180.9944234,156.7297099,,,,
94.75,26.75,180.3918871,156.3940041,,,,
95,26.75,166.133481,146.8040985,,,,
95.25,26.75,151.8750749,137.7524005,,,,
95.5,26.75,150.5921764,136.6050331,,,,
88,27,181.529514,209.4236685,,,,
88.25,27,185.8580105,212.8113771,,,,
88.5,27,193.6111628,219.1303673,,,,
88.75,27,201.364315,225.8988552,,,,
89,27,198.0056374,219.0151801,,,,
92,27,177.3432275,176.4636056,,,,
92.25,27,170.2618506,168.2232855,,,,
92.5,27,170.8619593,165.9996765,,,,
92.75,27,171.4620681,163.9419539,,,,
93,27,170.2360355,160.0971166,,,,
93.25,27,169.0100028,156.4625687,,,,
93.5,27,170.4989884,154.9783409,,,,
93.75,27,171.9879739,153.8074063,,,,
94,27,176.1985719,155.0984525,,,,
94.25,27,180.4091698,156.7639813,,,,
94.5,27,181.4022857,157.0928149,,,,
94.75,27,182.3954016,157.7125585,,,,
95,27,173.613608,151.7998999,,,,
95.25,27,164.8318143,146.2170411,,,,
95.5,27,161.0148215,143.4604459,,,,
95.75,27,157.1978288,140.8927516,,,,
96,27,157.1031367,141.7996183,,,,
88,27.25,179.3619236,206.7042393,,,,
88.25,27.25,175.9801482,200.9767049,,,,
88.5,27.25,180.3205105,203.6256239,,,,
88.75,27.25,184.6608728,206.7343807,,,,
92,27.25,166.5275389,169.290541,,,,
92.25,27.25,158.9236257,160.9607636,,,,
92.5,27.25,163.5492055,161.7265584,,,,
92.75,27.25,168.1747853,162.7334293,,,,
93,27.25,165.4810897,157.9074905,,,,
93.25,27.25,162.787394,153.3520337,,,,
93.5,27.25,164.674568,152.03277,,,,
93.75,27.25,166.5617419,151.0623865,,,,
94,27.25,172.8915609,153.5168081,,,,
94.25,27.25,179.2213799,156.4223131,,,,
94.5,27.25,181.810148,157.7336978,,,,
94.75,27.25,184.3989161,159.3534652,,,,
95,27.25,181.0937349,157.132472,,,,
95.25,27.25,177.7885537,155.1673663,,,,
95.5,27.25,171.4374667,150.7088249,,,,
95.75,27.25,165.0863798,146.4856267,,,,
96,27.25,160.0273942,143.1225156,,,,
96.25,27.25,154.9684086,139.9759206,,,,
96.5,27.25,143.0232272,129.9476977,,,,
96.75,27.25,131.0780459,120.1641854,,,,
97,27.25,129.5392052,119.1993744,,,,
88,27.5,140.2876113,161.5546458,,,,
88.25,27.5,136.2631184,155.0004527,,,,
88.5,27.5,142.2277742,160.9671862,,,,
88.75,27.5,148.19243,167.2444516,,,,
91.75,27.5,152.5365243,159.6097958,,,,
92,27.5,142.8162885,149.3879756,,,,
92.25,27.5,133.0960528,139.2762597,,,,
92.5,27.5,140.0516508,142.8734768,,,,
92.75,27.5,147.0072487,146.6867109,,,,
93,27.5,149.9811075,146.4884728,,,,
93.25,27.5,152.9549663,146.5317671,,,,
93.5,27.5,156.3072671,146.3588178,,,,
93.75,27.5,159.6595679,146.528838,,,,
94,27.5,163.9712165,147.6821209,,,,
94.25,27.5,168.2828651,149.2122433,,,,
94.5,27.5,172.0638978,150.9109871,,,,
94.75,27.5,175.8449306,152.8828989,,,,
95,27.5,174.8616696,152.0298702,,,,
95.25,27.5,173.8784087,151.3351189,,,,
95.5,27.5,168.634858,147.8430247,,,,
95.75,27.5,163.3913073,144.543475,,,,
96,27.5,157.6523397,140.4556589,,,,
96.25,27.5,151.9133722,136.5501281,,,,
96.5,27.5,133.985727,121.4077705,,,,
96.75,27.5,116.0580818,106.5438642,,,,
97,27.5,118.6974478,109.1603512,,,,
88.25,27.75,96.54608863,109.572125,,,,
88.5,27.75,104.135038,118.776947,,,,
88.75,27.75,111.7239873,128.220988,,,,
91.75,27.75,130.9415964,142.1186662,,,,
92,27.75,119.1050382,130.0652933,,,,
92.25,27.75,107.26848,118.182816,,,,
92.5,27.75,116.554096,124.5891641,,,,
92.75,27.75,125.8397121,131.2417622,,,,
93,27.75,134.4811254,135.5027401,,,,
93.25,27.75,143.1225386,140.0420679,,,,
93.5,27.75,147.9399663,140.9636793,,,,
93.75,27.75,152.757394,142.2389062,,,,
94,27.75,155.0508722,142.0844637,,,,
94.25,27.75,157.3443504,142.254061,,,,
94.5,27.75,162.3176477,144.267142,,,,
94.75,27.75,167.290945,146.5604518,,,,
95,27.75,168.6296044,147.0620781,,,,
95.25,27.75,169.9682637,147.6782904,,,,
95.5,27.75,165.8322492,145.1298564,,,,
95.75,27.75,161.6962347,142.7821722,,,,
96,27.75,155.2772853,137.9428255,,,,
96.25,27.75,148.8583358,133.2866009,,,,
96.5,27.75,124.9482267,113.0019315,,,,
96.75,27.75,101.0381177,93.06441208,,,,
97,27.75,107.8556904,99.27533197,,,,
97.25,27.75,114.6732631,105.6801817,,,,
88.25,28,95.83982047,111.9056514,,,,
88.5,28,98.46523715,114.677697,,,,
88.75,28,101.0906538,117.8123687,,,,
92.75,28,102.4621031,110.8099292,,,,
93,28,113.6649475,118.3786844,,,,
93.25,28,124.8677919,126.2513816,,,,
93.5,28,129.8238066,127.6369596,,,,
