"","V1","V2"
"1",187.93898886809,169.057612771286
"2",168.190582950381,152.58081272261
"3",161.18127105052,145.144598750544
"4",233.368826366736,217.086491894148
"5",199.286343949601,178.210683538563
"6",185.8537713431,167.335245890024
"7",172.421198736598,157.83454345551
"8",165.414024641017,150.55327592406
"9",158.406850545435,143.889879214369
"10",156.046415750326,139.70796784797
"11",266.560584189635,261.654462126986
"12",228.722938651519,215.596594324877
"13",190.885293113402,170.434868770684
"14",183.768553818109,166.125996188419
"15",176.651814522816,163.684799326537
"16",169.646778231514,156.431671960911
"17",162.641741940212,149.696737541394
"18",159.32779264841,145.585252761085
"19",285.75370050326,284.916952869083
"20",245.201199916688,235.759841213756
"21",218.249369711109,203.059791741082
"22",191.29753950553,170.810796457039
"23",183.216524830625,164.050025405887
"24",175.135510155721,158.060434579001
"25",169.449350725911,153.982660123814
"26",163.763191296101,150.623337395404
"27",159.920455723217,146.28016697883
"28",156.077720150333,142.282079476531
"29",206.153916737599,213.229942293442
"30",221.081960571115,225.795924179856
"31",287.44529462528,287.348829037613
"32",255.643555134511,248.817208917208
"33",223.841815643741,210.747075457302
"34",207.775800770699,191.327678647204
"35",191.709785897657,172.122169575288
"36",182.664495843141,162.487058200945
"37",173.619205788626,153.118780001914
"38",169.251923220308,151.996071260814
"39",164.88464065199,151.958544887198
"40",160.513118798024,147.317663594318
"41",156.141596944058,143.044229745601
"42",154.441270750156,140.78986840695
"43",207.913989174525,224.338024937737
"44",210.922938467064,223.106683844182
"45",213.931887759603,222.935315446193
"46",220.643826486973,226.375405101059
"47",227.355765214344,230.645120251794
"48",235.477196398207,237.936603379841
"49",243.598627582071,245.717024313702
"50",252.976381432841,255.752132270448
"51",262.354135283612,266.203959668907
"52",264.730910613246,266.343744243485
"53",267.10768594288,267.087734969646
"54",254.992558756938,252.771097619031
"55",242.877431570995,238.961371717539
"56",224.965819051472,217.38396208604
"57",207.054206531948,196.043578959313
"58",197.338590351294,182.548694822847
"59",187.622974170639,169.256610058262
"60",181.651579113294,161.849978990051
"61",175.680184055949,154.679959934199
"62",172.437484754877,152.857740342355
"63",169.194785453806,151.625950885217
"64",164.815057086501,148.083629984579
"65",160.435328719195,144.872071825698
"66",155.718861313791,140.923687681422
"67",219.029967220155,241.786181432378
"68",225.64442412992,245.70114718965
"69",223.677141455763,238.970813196619
"70",221.709858781607,233.206292895524
"71",220.205692402832,227.470882489317
"72",218.701526024058,222.625710364751
"73",218.074822917899,220.106589837438
"74",217.448119811741,218.009782215088
"75",212.291634337456,211.848129053021
"76",207.13514886317,205.977033122177
"77",201.972394943132,198.641057868244
"78",196.809641023094,191.573860835255
"79",197.559604769902,191.549015758055
"80",198.30956851671,191.774374284686
"81",194.288082968433,187.016623758387
"82",190.266597420155,182.430432619384
"83",186.901379931888,174.584789035866
"84",183.536162443621,167.008765012549
"85",180.638662383446,161.720593260099
"86",177.741162323271,156.680292883448
"87",175.623046289446,154.141835287815
